2018carv
Match,R1,R2,R3,L1,L2,L3
1,frc5499,frc2811,frc5829,frc2910,frc2928,frc2415
10,frc6800,frc6985,frc1414,frc2556,frc4192,frc342
100,frc1369,frc6838,frc2152,frc1410,frc4306,frc1425
101,frc341,frc418,frc3132,frc6985,frc108,frc3753
102,frc1622,frc3834,frc4911,frc100,frc1378,frc2723
103,frc7111,frc5803,frc175,frc6413,frc2556,frc4013
104,frc3238,frc5026,frc6988,frc744,frc801,frc6800
105,frc2415,frc5805,frc932,frc5987,frc5458,frc4499
106,frc6502,frc108,frc1421,frc6838,frc1477,frc2811
107,frc343,frc1410,frc3753,frc5829,frc1414,frc580
108,frc342,frc100,frc1690,frc6846,frc2429,frc1378
109,frc1769,frc16,frc5006,frc4911,frc4265,frc6985
11,frc4499,frc4795,frc1477,frc4306,frc1769,frc4171
110,frc2928,frc4944,frc418,frc1622,frc4192,frc1425
111,frc2152,frc7123,frc341,frc3991,frc1466,frc4171
112,frc3834,frc3132,frc2723,frc7301,frc3229,frc4795
113,frc3145,frc5499,frc6832,frc4306,frc4501,frc6902
114,frc2910,frc1769,frc5458,frc1369,frc6800,frc1421
12,frc6838,frc3991,frc5458,frc3834,frc1378,frc343
13,frc5803,frc1622,frc5829,frc6902,frc3132,frc6988
14,frc1425,frc3238,frc341,frc175,frc100,frc2910
15,frc1690,frc580,frc4501,frc1421,frc6985,frc3229
16,frc6832,frc342,frc1410,frc4265,frc3753,frc1769
17,frc5805,frc6800,frc4013,frc6846,frc1477,frc7301
18,frc16,frc4499,frc4944,frc5499,frc1369,frc801
19,frc1466,frc4795,frc6838,frc4911,frc5987,frc418
2,frc580,frc6832,frc1378,frc1425,frc5805,frc1466
20,frc7111,frc2152,frc2429,frc2811,frc5006,frc5026
21,frc744,frc2723,frc2928,frc4306,frc2556,frc108
22,frc4192,frc4171,frc1414,frc2415,frc3834,frc6413
23,frc7123,frc3145,frc5803,frc932,frc6502,frc3753
24,frc5829,frc6800,frc1466,frc1769,frc175,frc7301
25,frc1421,frc5499,frc2429,frc341,frc5458,frc4795
26,frc1369,frc4265,frc3238,frc1378,frc4013,frc2928
27,frc2910,frc3229,frc744,frc4171,frc801,frc6838
28,frc6988,frc5006,frc2556,frc932,frc3145,frc3834
29,frc1414,frc6502,frc4911,frc3132,frc4944,frc5805
3,frc5006,frc1421,frc4944,frc175,frc3991,frc3229
30,frc2811,frc3991,frc6846,frc580,frc1622,frc5987
31,frc1410,frc2415,frc4501,frc7111,frc2723,frc7123
32,frc1477,frc4306,frc6413,frc1690,frc1425,frc6985
33,frc6902,frc343,frc5026,frc342,frc418,frc16
34,frc108,frc4499,frc100,frc2152,frc4192,frc6832
35,frc3991,frc7301,frc1622,frc1414,frc2429,frc1769
36,frc6988,frc1466,frc4944,frc2415,frc5458,frc3132
37,frc4013,frc5829,frc7123,frc6838,frc1690,frc5006
38,frc2811,frc175,frc4171,frc4911,frc932,frc342
39,frc5805,frc7111,frc6413,frc4795,frc16,frc108
4,frc16,frc4501,frc1622,frc3753,frc3238,frc1690
40,frc418,frc4499,frc3834,frc5803,frc580,frc4265
41,frc2723,frc1425,frc801,frc6800,frc5987,frc3145
42,frc1410,frc6846,frc3229,frc6832,frc341,frc2556
43,frc6502,frc6985,frc5499,frc343,frc744,frc1369
44,frc5026,frc3753,frc4306,frc1378,frc2910,frc4192
45,frc3238,frc6902,frc2928,frc1421,frc1477,frc2152
46,frc100,frc4911,frc1425,frc4501,frc7111,frc932
47,frc5805,frc2811,frc6988,frc1410,frc1690,frc341
48,frc6832,frc6413,frc1622,frc5499,frc6800,frc6838
49,frc108,frc1369,frc4171,frc3991,frc5803,frc5026
5,frc3132,frc3145,frc4013,frc343,frc2152,frc100
50,frc3753,frc175,frc3132,frc2429,frc2928,frc801
51,frc4192,frc4265,frc1477,frc1466,frc2723,frc343
52,frc5006,frc6902,frc1378,frc4499,frc2910,frc6846
53,frc1414,frc16,frc5987,frc7123,frc1421,frc4306
54,frc3238,frc342,frc2415,frc3229,frc418,frc3145
55,frc5458,frc580,frc100,frc2556,frc6502,frc7301
56,frc2152,frc4013,frc6985,frc4944,frc5829,frc4795
57,frc3834,frc1769,frc5805,frc5026,frc744,frc4501
58,frc1421,frc4171,frc2723,frc2429,frc6988,frc1425
59,frc6413,frc3753,frc4911,frc4499,frc6902,frc3991
6,frc5803,frc5458,frc2429,frc744,frc4911,frc7123
60,frc4192,frc5499,frc3238,frc5987,frc1410,frc3132
61,frc801,frc2556,frc4795,frc1622,frc343,frc341
62,frc580,frc6838,frc3145,frc4944,frc7111,frc1769
63,frc4501,frc1414,frc175,frc6846,frc108,frc744
64,frc342,frc2910,frc6502,frc1466,frc2152,frc3834
65,frc7301,frc6832,frc5803,frc6985,frc5006,frc2928
66,frc1378,frc3229,frc1369,frc1477,frc932,frc5829
67,frc5458,frc16,frc4306,frc4013,frc2811,frc418
68,frc6800,frc100,frc4265,frc7123,frc2415,frc1690
69,frc744,frc1421,frc4499,frc1622,frc1466,frc342
7,frc418,frc6413,frc6846,frc2723,frc6988,frc1369
70,frc6985,frc6838,frc6902,frc2723,frc5805,frc175
71,frc4171,frc343,frc7111,frc3238,frc4944,frc6832
72,frc2556,frc3991,frc2910,frc4501,frc418,frc1477
73,frc341,frc7301,frc4911,frc3145,frc1369,frc4192
74,frc1378,frc3132,frc6413,frc1769,frc7123,frc2811
75,frc108,frc6800,frc2429,frc16,frc5829,frc3834
76,frc932,frc5803,frc2152,frc5499,frc1690,frc1414
77,frc2415,frc4306,frc5006,frc801,frc6502,frc580
78,frc3229,frc3753,frc5987,frc100,frc4013,frc6988
79,frc4795,frc1425,frc6846,frc4265,frc5026,frc5458
8,frc801,frc932,frc1410,frc6902,frc7301,frc108
80,frc2928,frc4911,frc343,frc6413,frc1410,frc6800
81,frc1690,frc1369,frc2811,frc1466,frc6902,frc2556
82,frc5829,frc2723,frc3991,frc4499,frc3238,frc6502
83,frc2152,frc2415,frc5987,frc7301,frc1378,frc744
84,frc4795,frc7123,frc4192,frc6988,frc6832,frc2910
85,frc342,frc341,frc4501,frc4944,frc6838,frc5803
86,frc3132,frc2928,frc932,frc580,frc5026,frc16
87,frc3145,frc175,frc6985,frc5458,frc4171,frc1410
88,frc3753,frc3834,frc5499,frc7111,frc6846,frc1421
89,frc801,frc5006,frc1477,frc418,frc1414,frc100
9,frc5026,frc5987,frc7111,frc4265,frc341,frc6502
90,frc2429,frc1622,frc4265,frc3229,frc5805,frc4306
91,frc1425,frc1769,frc6902,frc4013,frc108,frc2415
92,frc6502,frc1690,frc16,frc175,frc4795,frc6832
93,frc3145,frc2556,frc5026,frc1421,frc6413,frc5829
94,frc7123,frc6988,frc580,frc1477,frc342,frc5499
95,frc7301,frc2811,frc6800,frc4171,frc4501,frc4265
